"Internet users, total (% of population)"
"8","Sweden","45.7","","84.8","","90.0","","92.8","","93.2","","94.8","","92.5","","90.6","","89.7","","95.5","","92.1",""
"2","Switzerland","47.1","","70.1","","83.9","","85.2","","85.2","","86.3","","87.4","","87.5","","89.1","","89.7","","..",""
"154","Syrian Arab Republic","0.2","","5.6","","20.7","","22.5","","24.3","","26.2","","28.1","","30.0","","31.9","","34.3","","..",""
"125","Tajikistan","0.0","","0.3","","11.6","","13.0","","14.5","","16.0","","17.5","","19.0","","20.5","","22.0","","..",""
"159","Tanzania (United Republic of)","0.1","","1.1","","2.9","","3.2","","4.0","","4.4","","7.0","","20.0","","13.0","","25.0","","..",""
"77","Thailand","3.7","","15.0","","22.4","","23.7","","26.5","","28.9","","34.9","","39.3","","47.5","","52.9","","56.8",""
"131","Timor-Leste","..","","0.1","","3.0","","4.0","","7.0","","11.0","","17.5","","23.0","","25.2","","27.5","","..",""
"167","Togo","0.8","","1.8","","3.0","","3.5","","4.0","","4.5","","5.7","","7.1","","11.3","","12.4","","..",""
"105","Tonga","2.4","","4.9","","16.0","","25.0","","30.0","","32.8","","36.0","","38.7","","40.0","","41.2","","..",""
"63","Trinidad and Tobago","7.7","","29.0","","48.5","","55.2","","59.5","","63.8","","65.1","","69.2","","73.3","","77.3","","..",""
"91","Tunisia","2.8","","9.7","","36.8","","39.1","","41.4","","43.8","","46.2","","46.5","","49.6","","64.2","","64.2",""
"59","Turkey","3.8","","15.5","","39.8","","43.1","","45.1","","46.3","","51.0","","53.7","","58.3","","64.7","","71.0",""
"108","Turkmenistan","0.1","","1.0","","3.0","","5.0","","7.2","","9.6","","12.2","","15.0","","18.0","","21.3","","..",""
"..","Tuvalu","5.2","","..","","25.0","","30.0","","35.0","","37.0","","39.2","","42.7","","46.0","","49.3","","..",""
"159","Uganda","0.2","","1.7","","12.5","","13.0","","14.1","","15.5","","16.9","","17.8","","21.9","","23.7","","..",""
"88","Ukraine","0.7","","3.8","","23.3","","28.7","","35.3","","41.0","","46.2","","48.9","","53.0","","58.9","","..",""
"35","United Arab Emirates","23.6","","40.0","","68.0","","78.0","","85.0","","88.0","","90.4","","90.5","","90.6","","94.8","","98.5",""
"15","United Kingdom","26.8","","70.0","","85.0","","85.4","","87.5","","89.8","","91.6","","92.0","","94.8","","94.6","","94.9",""
"15","United States","43.1","","68.0","","71.7","","69.7","","74.7","","71.4","","73.0","","74.6","","85.5","","87.3","","..",""
"57","Uruguay","10.5","","20.1","","46.4","","51.4","","54.5","","57.7","","61.5","","64.6","","66.4","","68.3","","..",""
"108","Uzbekistan","0.5","","3.3","","15.9","","18.6","","23.6","","26.8","","35.5","","42.8","","46.8","","52.3","","..",""
"141","Vanuatu","2.1","","5.1","","8.0","","9.2","","10.6","","11.3","","18.8","","22.4","","24.0","","25.7","","..",""
"96","Venezuela (Bolivarian Republic of)","3.4","","12.6","","37.4","","40.2","","49.0","","54.9","","57.0","","64.0","","60.0","","72.0","","..",""
"118","Viet Nam","0.3","","12.7","","30.6","","35.1","","36.8","","38.5","","41.0","","45.0","","53.0","","58.1","","70.3",""
"177","Yemen","0.1","","1.0","","12.3","","14.9","","17.4","","20.0","","22.6","","24.1","","24.6","","26.7","","..",""
"143","Zambia","0.2","","2.9","","10.0","","11.5","","13.5","","..","","..","","..","","..","","..","","14.3",""
"150","Zimbabwe","0.4","","2.4","","6.4","","8.4","","12.0","","15.5","","16.4","","22.7","","23.1","","27.1","","..",""
"135","Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"147","Nepal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"55","Palau","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","High human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Medium human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Low human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Developing Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","East Asia and the Pacific","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Europe and Central Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Latin America and the Caribbean","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","South Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Sub-Saharan Africa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Least Developed Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Small Island Developing States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Organization for Economic Co-operation and Development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","World","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
""
